Date,Open,High,Low,Close,Adj Close,Volume
30-01-2020,12147.75,12150.3,12010.6,12035.8,12035.8,538100
31-01-2020,12100.4,12103.55,11945.85,11962.1,11962.1,771300
03-02-2020,11627.45,11749.85,11614.5,11707.9,11707.9,669800
04-02-2020,11786.25,11986.15,11783.4,11979.65,11979.65,560400
05-02-2020,12005.85,12098.15,11953.35,12089.15,12089.15,758000
06-02-2020,12120,12160.6,12084.65,12137.95,12137.95,565100
07-02-2020,12151.15,12154.7,12073.95,12098.35,12098.35,473500
10-02-2020,12102.35,12103.55,11990.75,12031.5,12031.5,524700
11-02-2020,12108.4,12172.3,12099,12107.9,12107.9,480000
12-02-2020,12151,12231.75,12144.3,12201.2,12201.2,411700
13-02-2020,12219.55,12225.65,12139.8,12174.65,12174.65,501200
14-02-2020,12190.15,12246.7,12091.2,12113.45,12113.45,622800
17-02-2020,12131.8,12159.6,12037,12045.8,12045.8,0
18-02-2020,12028.25,12030.75,11908.05,11992.5,11992.5,676900
19-02-2020,12090.6,12134.7,12042.1,12125.9,12125.9,513600
20-02-2020,12119,12152,12071.45,12080.85,12080.85,502600
24-02-2020,12012.55,12012.55,11813.4,11829.4,11829.4,490800
25-02-2020,11877.5,11883.05,11779.9,11797.9,11797.9,461000
26-02-2020,11738.55,11783.25,11639.6,11678.5,11678.5,567600
27-02-2020,11661.25,11663.85,11536.7,11633.3,11633.3,608600
28-02-2020,11382,11384.8,11175.05,11201.75,11201.75,809900
02-03-2020,11387.35,11433,11036.25,11132.75,11132.75,680800
03-03-2020,11217.55,11342.25,11152.55,11303.3,11303.3,696500
04-03-2020,11351.35,11356.6,11082.15,11251,11251,797700
05-03-2020,11306.05,11389.5,11244.6,11269,11269,1352500
06-03-2020,10942.65,11035.1,10827.4,10989.45,10989.45,1811000
09-03-2020,10742.05,10751.55,10294.45,10451.45,10451.45,1565500
11-03-2020,10334.3,10545.1,10334,10458.4,10458.4,1218500
12-03-2020,10039.95,10040.75,9508,9590.15,9590.15,1343500
13-03-2020,9107.6,10159.4,8555.15,9955.2,9955.2,1388000
16-03-2020,9587.8,9602.2,9165.1,9197.4,9197.4,897700
17-03-2020,9285.4,9403.8,8915.6,8967.05,8967.05,935600
18-03-2020,9088.45,9127.55,8407.05,8468.8,8468.8,1516600
19-03-2020,8063.3,8575.45,7832.55,8263.45,8263.45,925700
20-03-2020,8284.45,8883,8178.2,8745.45,8745.45,1071500
23-03-2020,7945.7,8159.25,7583.6,7610.25,7610.25,653500
24-03-2020,7848.3,8036.95,7511.1,7801.05,7801.05,738400
25-03-2020,7735.15,8376.75,7714.75,8317.85,8317.85,736900
26-03-2020,8451,8749.05,8304.9,8641.45,8641.45,865600
27-03-2020,8949.1,9038.9,8522.9,8660.25,8660.25,801500
30-03-2020,8385.95,8576,8244,8281.1,8281.1,593300
31-03-2020,8529.35,8678.3,8358,8597.75,8597.75,712700
01-04-2020,8584.1,8588.1,8198.35,8253.8,8253.8,506300
03-04-2020,8356.55,8356.55,8055.8,8083.8,8083.8,697000
07-04-2020,8446.3,8819.4,8360.95,8792.2,8792.2,814200
08-04-2020,8688.9,9131.7,8653.9,8748.75,8748.75,896500
09-04-2020,8973.05,9128.35,8904.55,9111.9,9111.9,742100
13-04-2020,9103.95,9112.05,8912.4,8993.85,8993.85,644000
15-04-2020,9196.4,9261.2,8874.1,8925.3,8925.3,879100
16-04-2020,8851.25,9053.75,8821.9,8992.8,8992.8,719400
17-04-2020,9323.45,9324,9091.35,9266.75,9266.75,684200
20-04-2020,9390.2,9390.85,9230.8,9261.85,9261.85,726400
21-04-2020,9016.95,9044.4,8909.4,8981.45,8981.45,655100
22-04-2020,9026.75,9209.75,8946.25,9187.3,9187.3,734400
23-04-2020,9232.35,9343.6,9170.15,9313.9,9313.9,666700
24-04-2020,9163.9,9296.9,9141.3,9154.4,9154.4,659400
27-04-2020,9259.7,9377.1,9250.35,9282.3,9282.3,512800
28-04-2020,9389.8,9404.4,9260,9380.9,9380.9,614500
29-04-2020,9408.6,9599.85,9392.35,9553.35,9553.35,653000
30-04-2020,9753.5,9889.05,9731.5,9859.9,9859.9,931200
04-05-2020,9533.5,9533.5,9266.95,9293.5,9293.5,687500
05-05-2020,9429.4,9450.9,9190.75,9205.6,9205.6,725200
06-05-2020,9226.8,9346.9,9116.5,9270.9,9270.9,722200
07-05-2020,9234.05,9277.85,9175.9,9199.05,9199.05,708700
08-05-2020,9376.95,9382.65,9238.2,9251.5,9251.5,609100
11-05-2020,9348.15,9439.9,9219.95,9239.2,9239.2,704600
12-05-2020,9168.85,9240.85,9043.95,9196.55,9196.55,805500
13-05-2020,9584.2,9584.5,9351.1,9383.55,9383.55,846400
14-05-2020,9213.95,9281.1,9119.75,9142.75,9142.75,602600
15-05-2020,9182.4,9182.4,9050,9136.85,9136.85,575900
18-05-2020,9158.3,9158.3,8806.75,8823.25,8823.25,773000
19-05-2020,8961.7,9030.35,8855.3,8879.1,8879.1,762200
20-05-2020,8889.15,9093.8,8875.35,9066.55,9066.55,622300
21-05-2020,9079.45,9178.55,9056.1,9106.25,9106.25,631500
22-05-2020,9067.9,9149.6,8968.55,9039.25,9039.25,675800
26-05-2020,9099.75,9161.65,8996.65,9029.05,9029.05,655000
27-05-2020,9082.2,9334,9004.25,9314.95,9314.95,763500
28-05-2020,9364.95,9511.25,9336.5,9490.1,9490.1,837900
29-05-2020,9422.2,9598.85,9376.9,9580.3,9580.3,967000
01-06-2020,9726.85,9931.6,9706.95,9826.15,9826.15,794200
02-06-2020,9880.85,9995.6,9824.05,9979.1,9979.1,770200
03-06-2020,10108.3,10176.2,10035.55,10061.55,10061.55,794700
04-06-2020,10054.25,10123.85,9944.25,10029.1,10029.1,775100
05-06-2020,10093.8,10177.8,10040.75,10142.15,10142.15,987100
08-06-2020,10326.75,10328.5,10120.25,10167.45,10167.45,936500
09-06-2020,10181.15,10291.15,10021.45,10046.65,10046.65,754200
10-06-2020,10072.6,10148.75,10036.85,10116.15,10116.15,632400
11-06-2020,10094.1,10112.05,9885.05,9902,9902,715500
12-06-2020,9544.95,9996.05,9544.35,9972.9,9972.9,796300
15-06-2020,9919.35,9943.35,9726.35,9813.7,9813.7,716100
16-06-2020,10014.8,10046.15,9728.5,9914,9914,899900
17-06-2020,9876.7,10003.6,9833.8,9881.15,9881.15,685400
18-06-2020,9863.25,10111.2,9845.05,10091.65,10091.65,622900
19-06-2020,10119,10272.4,10072.65,10244.4,10244.4,892100
22-06-2020,10318.75,10393.65,10277.6,10311.2,10311.2,685400
23-06-2020,10347.95,10484.7,10301.75,10471,10471,669200
24-06-2020,10529.25,10553.15,10281.95,10305.3,10305.3,854800
25-06-2020,10235.55,10361.8,10194.5,10288.9,10288.9,994200
26-06-2020,10378.9,10409.85,10311.25,10383,10383,671900
29-06-2020,10311.95,10337.95,10223.6,10312.4,10312.4,574500
30-06-2020,10382.6,10401.05,10267.35,10302.1,10302.1,556200
01-07-2020,10323.8,10447.05,10299.6,10430.05,10430.05,573600
02-07-2020,10493.05,10598.2,10485.55,10551.7,10551.7,597400
03-07-2020,10614.95,10631.3,10562.65,10607.35,10607.35,525200
06-07-2020,10723.85,10811.4,10695.1,10763.65,10763.65,571200
07-07-2020,10802.85,10813.8,10689.7,10799.65,10799.65,636800
08-07-2020,10818.65,10847.85,10676.55,10705.75,10705.75,767900
09-07-2020,10755.55,10836.85,10733,10813.45,10813.45,618700
10-07-2020,10764.1,10819.4,10713,10768.05,10768.05,590700
13-07-2020,10851.85,10894.05,10756.05,10802.7,10802.7,554100
14-07-2020,10750.85,10755.65,10562.9,10607.35,10607.35,532400
15-07-2020,10701,10827.45,10577.75,10618.2,10618.2,715900
16-07-2020,10706.2,10755.3,10595.2,10739.95,10739.95,694400
17-07-2020,10752,10933.45,10749.65,10901.7,10901.7,676900
20-07-2020,10999.45,11037.9,10953,11022.2,11022.2,554300
21-07-2020,11126.1,11179.55,11113.25,11162.25,11162.25,772000
22-07-2020,11231.2,11238.1,11056.55,11132.6,11132.6,765100
23-07-2020,11135,11239.8,11103.15,11215.45,11215.45,621600
24-07-2020,11149.95,11225.4,11090.3,11194.15,11194.15,678900
27-07-2020,11225,11225,11087.85,11131.8,11131.8,588100
28-07-2020,11154.1,11317.75,11151.4,11300.55,11300.55,683900
29-07-2020,11276.9,11341.4,11149.75,11202.85,11202.85,600700
30-07-2020,11254.3,11299.95,11084.95,11102.15,11102.15,677800
31-07-2020,11139.5,11150.4,11026.65,11073.45,11073.45,642600
03-08-2020,11057.55,11058.05,10882.25,10891.6,10891.6,680900
04-08-2020,10946.65,11112.25,10908.1,11095.25,11095.25,625700
05-08-2020,11155.75,11225.65,11064.05,11101.65,11101.65,667600
06-08-2020,11185.7,11256.8,11127.3,11200.15,11200.15,600400
07-08-2020,11186.65,11231.9,11142.05,11214.05,11214.05,452600
10-08-2020,11270.25,11337.3,11238,11270.15,11270.15,492000
11-08-2020,11322.25,11373.6,11299.15,11322.5,11322.5,586100
12-08-2020,11289,11322,11242.65,11308.4,11308.4,609900
13-08-2020,11334.85,11359.3,11269.95,11300.45,11300.45,562400
14-08-2020,11353.3,11366.25,11111.45,11178.4,11178.4,645100
17-08-2020,11248.9,11267.1,11144.5,11247.1,11247.1,634000
18-08-2020,11259.8,11401.7,11253.15,11385.35,11385.35,579200
19-08-2020,11452.15,11460.35,11394.1,11408.4,11408.4,626200
20-08-2020,11317.45,11361.45,11289.8,11312.2,11312.2,791600
21-08-2020,11409.65,11418.5,11362.2,11371.6,11371.6,668700
24-08-2020,11412,11497.25,11410.65,11466.45,11466.45,532900
25-08-2020,11513.1,11525.9,11423.35,11472.25,11472.25,638200
26-08-2020,11512.85,11561.75,11461.85,11549.6,11549.6,743400
27-08-2020,11609.3,11617.35,11540.6,11559.25,11559.25,719800
28-08-2020,11602.95,11686.05,11589.4,11647.6,11647.6,807000
31-08-2020,11777.55,11794.25,11325.85,11387.5,11387.5,1371800
01-09-2020,11464.3,11553.55,11366.9,11470.25,11470.25,783800
02-09-2020,11478.55,11554.75,11430.4,11535,11535,593500
03-09-2020,11566.2,11584.95,11507.65,11527.45,11527.45,607100
04-09-2020,11354.4,11452.05,11303.65,11333.85,11333.85,681300
07-09-2020,11359.6,11381.15,11251.7,11355.05,11355.05,560300
08-09-2020,11378.55,11437.25,11290.45,11317.35,11317.35,572200
09-09-2020,11218.6,11298.15,11185.15,11278,11278,728900
10-09-2020,11363.3,11464.05,11327.4,11449.25,11449.25,679400
11-09-2020,11447.8,11493.5,11419.9,11464.45,11464.45,554800
14-09-2020,11540.15,11568.9,11383.55,11440.05,11440.05,642300
15-09-2020,11487.2,11535.95,11442.25,11521.8,11521.8,506700
16-09-2020,11538.45,11618.1,11516.75,11604.55,11604.55,527800
17-09-2020,11539.4,11587.2,11498.5,11516.1,11516.1,0
18-09-2020,11584.1,11584.1,11446.1,11504.95,11504.95,764200
21-09-2020,11503.8,11535.25,11218.5,11250.55,11250.55,602900
22-09-2020,11301.75,11302.2,11084.65,11153.65,11153.65,672200
23-09-2020,11258.75,11259.55,11024.4,11131.85,11131.85,714900
24-09-2020,11011,11015.3,10790.2,10805.55,10805.55,706100
25-09-2020,10910.4,11072.6,10854.85,11050.25,11050.25,559600
28-09-2020,11140.85,11239.35,11099.85,11227.55,11227.55,472800
